PM2.5,NO2,NH3,SO2,O3,AQI,Y_Pred,Y Class,Y_Pred Class
54.86,14.6,56.56,13.31,36.11,155,120.6170382,Moderate,FALSE
56.25,15.23,58.34,10.29,37.1,158,124.1779903,Moderate,Very Poor
57.87,15.88,57.83,9.93,41.28,118,143.0404991,Moderate,Very Poor
72.61,17.51,55.43,9.47,38.85,152,135.4168428,Moderate,Very Poor
68.28,16.15,52.18,10.42,33.71,181,123.1793587,Moderate,Very Poor
58.07,16.31,51.31,12.21,38.65,167,138.1460364,Moderate,Very Poor
67.93,19.42,49.56,10.78,42.65,158,137.056647,Moderate,Very Poor
69.03,17.22,63.57,11.35,36.46,147,146.0117965,Moderate,Very Poor
76.57,15.11,48.26,10.04,33.37,149,145.9982358,Moderate,Very Poor
77.2,17.59,56.33,9.68,28.86,157,145.392279,Moderate,Very Poor
76.18,17.75,55.49,10.84,32.23,157,146.9149874,Moderate,Very Poor
77.16,17.68,49.23,11.67,33.71,172,154.9019987,Moderate,Very Poor
83.72,20.08,53.46,14.01,32.66,201,135.5018636,Poor,Very Poor
68.41,20.66,50.73,13.46,33.28,169,141.9872011,Moderate,Very Poor
73.86,21.36,56.63,13.24,30.81,186,136.222501,Moderate,Very Poor
70.58,17.94,52.85,15.31,29.69,290,137.3697417,Poor,Very Poor
70.61,20.14,54.4,13.9,30.78,193,137.1483701,Moderate,Very Poor
71.19,20.02,50.38,14.55,28.04,164,136.6563987,Moderate,Very Poor
69.56,20.37,52.81,11.02,30.14,187,133.7093519,Moderate,Very Poor
68.72,19.66,58.71,15.11,28.23,160,136.6169358,Moderate,Very Poor
67.95,13.66,46.24,10.39,40.63,207,123.6490621,Poor,Very Poor
59.59,14.72,52.64,13.92,36.19,169,128.8446486,Moderate,Very Poor
62.54,19.45,62.36,7.05,31.75,208,128.6332874,Poor,Very Poor
61.7,20.32,52,6.71,33.56,230,133.5726716,Poor,Very Poor
