PM2.5,CO,NO2,,,Y,Y_Pred,Y_Class,Y_Pred_Class
32.77,0.87,10.62,,,91,89.49408825,Satisfactory,Satisfactory
72.65,3.87,18.34,,,245,188.0019606,Fair,Moderate
46.97,2.76,11.77,,,188,137.3780455,Moderate,Moderate
84.31,0.9,21,,,187,157.2923171,Moderate,Moderate
47.23,1.4,18.89,,,126,116.2399209,Moderate,Moderate
47.92,1.03,17.19,,,87,111.5371668,Satisfactory,Moderate
70.58,20.62,17.94,,,290,444.2900466,Fair,Very Poor
22.93,0.91,21.13,,,70,76.46340594,Satisfactory,Satisfactory
44.88,1.49,15.77,,,124,114.7295449,Moderate,Moderate
40.21,0.76,10.09,,,139,97.64209607,Moderate,Satisfactory
36.17,0.22,10.03,,,77,83.96651615,Satisfactory,Satisfactory
33,1.18,11.79,,,94,94.51648604,Satisfactory,Satisfactory
26.47,1.68,17.03,,,82,93.30001662,Satisfactory,Satisfactory
106.27,1.08,38.34,,,206,187.9443806,Fair,Moderate
43.31,0.07,15.45,,,90,90.72219797,Satisfactory,Satisfactory
57.73,0.7,8.73,,,131,119.9139489,Moderate,Moderate
23.68,1.05,18.38,,,75,79.79229557,Satisfactory,Satisfactory
36.51,1.37,12.68,,,86,102.0283235,Satisfactory,Moderate
62.96,0.01,28.47,,,124,114.8903441,Moderate,Moderate
70.61,2.19,20.14,,,193,159.2196668,Moderate,Moderate
38.14,0.17,17.9,,,70,85.29225792,Satisfactory,Satisfactory
56.23,0.62,17.24,,,125,116.1573753,Moderate,Moderate
48.91,0.02,27.47,,,78,96.5731108,Satisfactory,Satisfactory
54.41,1.11,14.92,,,96,121.4802873,Satisfactory,Moderate
48.7,0.96,17.65,,,124,111.4545889,Moderate,Moderate
50.58,2.43,19.44,,,144,136.5506137,Moderate,Moderate
36.09,0.05,28.48,,,73,80.06008057,Satisfactory,Satisfactory
63.39,1.35,15.16,,,129,137.0228119,Moderate,Moderate
20.43,0.73,16.34,,,61,70.68643354,Satisfactory,Satisfactory
65.84,2.02,5.4,,,216,151.2348494,Fair,Moderate
38.91,0.77,14.39,,,85,95.80848006,Satisfactory,Satisfactory
16.69,0.63,7.98,,,76,64.7374172,Satisfactory,Satisfactory
47.26,1.08,18.37,,,78,111.3646032,Satisfactory,Moderate
43.94,0.03,19.32,,,77,90.68893237,Satisfactory,Satisfactory
66.15,0.79,22.16,,,135,131.5602644,Moderate,Moderate
23.24,0.97,15.75,,,58,78.14195282,Satisfactory,Satisfactory
38.1,0.67,24.27,,,70,92.56589051,Satisfactory,Satisfactory
35.04,0,9.35,,,61,79.11727014,Satisfactory,Satisfactory
32.09,1.39,14.96,,,82,96.3616352,Satisfactory,Satisfactory
40.74,0.66,15.82,,,65,96.4309844,Satisfactory,Satisfactory
32.68,0.91,8.56,,,95,90.12473966,Satisfactory,Satisfactory
80.58,0.62,19.77,,,149,148.1202423,Moderate,Moderate
38.61,0,10.78,,,92,83.73611413,Satisfactory,Satisfactory
36.33,0.02,7.08,,,83,81.27257734,Satisfactory,Satisfactory
23.04,1.16,12.62,,,85,81.01481944,Satisfactory,Satisfactory
34.69,0.02,9.52,,,60,78.95397855,Satisfactory,Satisfactory
38.73,1.71,16,,,154,110.0032782,Moderate,Moderate
74.12,0.88,16.68,,,140,143.8144529,Moderate,Moderate
47.85,0.96,12.34,,,124,110.6706256,Moderate,Moderate
39.29,0.87,24.94,,,87,97.18568065,Satisfactory,Satisfactory
33.85,1.06,15.63,,,77,93.53837668,Satisfactory,Satisfactory
23.59,0.83,11.72,,,103,76.69503128,Moderate,Satisfactory
30.64,0.99,18.33,,,92,88.04968162,Satisfactory,Satisfactory
53.31,1.55,18.91,,,132,126.5790061,Moderate,Moderate
29.62,1.03,14,,,77,87.59766976,Satisfactory,Satisfactory
35.6,0.64,19.49,,,70,89.10762756,Satisfactory,Satisfactory
38.87,3.01,15.96,,,228,130.2915028,Fair,Moderate
58.49,2.68,15.22,,,144,151.1195554,Moderate,Moderate
65.17,1.28,25.13,,,164,137.655218,Moderate,Moderate
82.65,0.98,17.84,,,156,156.540139,Moderate,Moderate
31.65,1.31,10.81,,,84,94.80787259,Satisfactory,Satisfactory
40.87,0.23,12.11,,,68,90.18942954,Satisfactory,Satisfactory
98.35,1.05,14.89,,,224,178.5220922,Fair,Moderate
41.87,0.71,37.3,,,68,97.33001646,Satisfactory,Satisfactory
60.53,1.12,11.26,,,143,129.9412461,Moderate,Moderate
53.69,1.43,20.33,,,102,125.1346172,Moderate,Moderate
17.58,0.68,13.95,,,64,66.30532918,Satisfactory,Satisfactory
41.02,0.56,12.87,,,80,95.44158492,Satisfactory,Satisfactory
31.96,0.23,9,,,104,78.63256236,Moderate,Satisfactory
62.16,1.91,10.03,,,156,144.3849857,Moderate,Moderate
51.56,0.77,20.34,,,113,112.1188721,Moderate,Moderate
60.15,1.53,15.47,,,125,135.5119738,Moderate,Moderate
73.21,0.82,18.74,,,155,141.5553103,Moderate,Moderate
56.12,1,24.69,,,80,121.4145621,Satisfactory,Moderate
56.62,0.61,15.05,,,127,116.6564096,Moderate,Moderate
67.25,1.35,12.58,,,117,142.2790307,Moderate,Moderate
40.16,0.17,14.14,,,75,88.19604214,Satisfactory,Satisfactory
41.77,0.82,21.3,,,69,99.91557799,Satisfactory,Satisfactory
81.94,0.79,18.9,,,163,152.5982861,Moderate,Moderate
40.27,1.95,14.15,,,119,115.8634159,Moderate,Moderate
46.05,0.47,15.6,,,64,100.5123186,Satisfactory,Very Poor
39.7,0.88,13.52,,,82,98.60681613,Satisfactory,Satisfactory
