PM2.5,NO2,CO,O3,AQI,Y_Pred
31.04,18.11,0.85,25.26,73.0,82.96983840469991
47.45,13.12,0.77,30.21,80.0,105.28898149001138
35.41,21.19,0.93,20.11,69.0,87.56551080191738
42.16,16.26,0.64,43.88,96.0,100.34501097970546
42.72,12.05,0.93,37.96,99.0,103.38388268566761
86.4,10.03,1.02,52.35,165.0,164.81786259771272
57.74,16.14,0.6,38.89,134.0,118.50628142463465
52.65,11.71,1.1,60.46,136.0,124.42087037099583
49.27,32.29,0.19,27.56,156.0,97.23447959841825
24.37,16.96,0.77,12.74,58.0,70.1729254175714
44.1,16.07,0.0,61.87,105.0,100.58771532374865
58.58,16.06,1.02,47.31,147.0,126.75167605121672
32.68,8.56,0.91,31.17,95.0,88.91980613050795
54.06,13.32,0.94,38.04,132.0,117.874357422288
61.8651,12.63,1.16,27.02,69.0,127.42982255397968
47.0,12.94,0.81,21.73,84.0,102.82362118565212
73.21,18.74,0.82,56.87,155.0,145.49619886679966
76.18,17.75,2.04,32.23,157.0,156.5063738966827
47.98,16.8,0.72,44.4,111.0,108.78891352698247
22.23,20.28,0.86,23.02,61.0,70.80806408114688
39.32,17.93,0.93,31.92,96.0,96.40281176434735
32.88,14.81,1.02,12.54,89.0,84.23405316770072
73.78,15.12,0.66,45.08,117.0,141.67107623364575
173.51,30.32,1.38,30.17,166.0,271.32387355305053
41.54,10.28,1.67,55.5,130.0,115.51135479117836
21.17,11.51,0.44,23.57,49.0,66.18597969020479
40.54,10.08,0.01,20.81,76.0,85.58649071269535
66.57,26.41,0.0,72.89,113.0,130.8800865293877
113.21,18.64,0.0,40.16,184.0,182.80457140150875
57.62,19.36,0.54,38.81,213.0,117.13671969918651
98.11,13.92,0.85,46.05,185.0,175.52821583126982
57.57,36.72,10.92,24.15,102.0,228.81963117680223
70.08,16.87,0.75,33.76,128.0,134.50671219619718
50.43,22.98,0.54,42.02,71.0,108.2364521294014
20.3,8.1,0.61,35.94,65.0,71.01103667210262
61.21,21.55,0.79,31.31,102.0,122.15615422183072
25.13,10.09,0.23,17.7,77.0,67.45033183546178
44.76,23.06,0.16,13.01,77.0,88.48684318833156
29.21,18.82,1.0,24.79,77.0,82.09137149637606
38.73,16.0,1.71,50.61,154.0,110.09155010028572
68.42,16.17,1.24,53.29,161.0,143.55020971157595
61.8651,18.9,9.77,64.65,69.0,235.33764958496477
81.09,11.73,0.98,41.59,144.0,154.26658951188534
40.73,10.97,1.17,52.89,92.0,107.92028562225785
26.43,10.84,0.06,31.85,87.0,71.0183279931444
77.29,31.89,0.0,38.98,156.0,134.28450180171922
34.52,23.6,0.7,30.04,76.0,86.1946050537027
67.93,19.42,2.43,42.65,158.0,153.02646221343696
41.58,12.14,0.53,16.03,81.0,91.19951791219682
71.86,14.88,0.06,32.83,133.0,128.9617637175931
60.15,15.47,1.53,46.33,125.0,134.41194619418422
45.57,13.06,1.17,47.23,113.0,112.21856896335373
80.18,28.49,0.21,65.42,183.0,148.32823056517836
56.97,11.07,0.44,13.89,91.0,109.49308303172691
61.8651,11.57,1.41,30.18,69.0,131.33743380344842
41.87,21.69,1.2,21.9,75.0,99.36319685592093
80.11,21.32,0.7,28.97,164.0,144.76614132900445
23.87,12.5,0.0,19.55,55.0,63.34332020910832
61.8651,9.89,0.84,37.17,69.0,127.04651286128635
29.45,21.64,0.74,46.55,67.0,85.07405741443777
78.25,17.43,1.91,26.44,148.0,156.10796523814707
22.81,19.17,0.87,16.62,62.0,70.05062964806997
81.74,9.86,1.77,39.39,165.0,163.80537044429425
29.62,18.18,0.58,17.88,69.0,75.98636552321992
49.48,18.01,0.93,23.31,93.0,107.02026987125682
22.43,4.38,0.65,37.16,58.0,75.12966799020329
63.13,25.19,0.96,19.69,129.0,122.73667425058314
34.45,15.48,0.71,30.83,76.0,87.72035502313358
28.14,8.67,0.19,33.73,64.0,75.56645008929286
42.05,24.99,0.76,25.07,71.0,94.9342518733051
73.75,28.44,0.26,79.47,170.0,144.58687536005405
41.39,13.98,1.24,39.97,102.0,105.47674782451683
50.7,16.49,0.82,19.46,89.0,106.49155971643931
45.48,26.49,0.12,31.59,68.0,93.6128573040344
35.06,18.79,0.93,50.73,146.0,96.06390635097645
20.95,10.0,0.46,22.78,47.0,66.1491077569222
23.75,7.94,1.14,66.85,95.0,90.16945773643637
94.87,27.5,0.47,40.88,143.0,163.4405996756283
36.71,9.87,0.32,27.23,77.0,86.04235820304801
21.24,10.08,0.84,46.91,77.0,77.60294730289245
34.82,15.86,0.91,20.01,76.0,87.3921777917873
44.51,10.9,0.92,18.38,93.0,100.26870869113205
28.74,16.17,0.84,32.68,87.0,82.28611433153822
